00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
01	01	01	01	01	01	01	01	01	02	02	02	03	03	05	0A
02	02	02	02	02	02	02	03	03	03	04	04	05	07	0A	14
03	03	03	03	03	03	04	04	04	05	05	06	08	0A	0F	1F
04	04	04	04	04	05	05	05	06	06	07	08	0A	0E	15	29
05	05	05	05	05	06	06	06	07	08	09	0B	0D	11	1A	33
06	06	06	06	06	07	07	08	08	09	0B	0D	10	15	1F	3D
07	07	07	07	08	08	08	09	0A	0B	0D	0F	12	18	24	47
08	08	08	08	09	09	0A	0A	0B	0D	0E	11	15	1C	29	52
09	09	09	09	0A	0A	0B	0C	0D	0E	10	13	17	1F	2E	5C
0A	0A	0A	0A	0B	0B	0C	0D	0E	10	12	15	1A	22	33	66
0B	0B	0B	0B	0C	0C	0D	0E	10	11	14	17	1D	26	38	70
0C	0C	0C	0D	0D	0E	0E	10	11	13	16	19	1F	29	3E	7A
0D	0D	0D	0E	0E	0F	10	11	12	15	17	1C	22	2D	43	7F
0E	0E	0E	0F	0F	10	11	12	14	16	19	1E	25	30	48	7F
0F	0F	0F	10	10	11	12	13	15	18	1B	20	27	34	4D	7F
10	10	10	11	11	12	13	15	17	19	1D	22	2A	37	52	7F
11	11	11	12	12	13	14	16	18	1B	1F	24	2C	3B	57	7F
12	12	12	13	13	14	16	17	19	1C	20	26	2F	3E	5C	7F
13	13	13	14	15	16	17	19	1B	1E	22	28	32	42	61	7F
14	14	14	15	16	17	18	1A	1C	20	24	2A	34	45	67	7F
15	15	15	16	17	18	19	1B	1E	21	26	2D	37	48	6C	7F
16	16	16	17	18	19	1A	1C	1F	23	28	2F	39	4C	71	7F
17	17	17	18	19	1A	1C	1E	21	24	29	31	3C	4F	76	7F
18	18	18	19	1A	1B	1D	1F	22	26	2B	33	3F	53	7B	7F
19	19	19	1A	1B	1C	1E	20	23	27	2D	35	41	56	7F	7F
1A	1A	1B	1B	1C	1D	1F	22	25	29	2F	37	44	5A	7F	7F
1B	1B	1C	1C	1D	1F	20	23	26	2B	31	39	46	5D	7F	7F
1C	1C	1D	1D	1E	20	22	24	28	2C	32	3B	49	61	7F	7F
1D	1D	1E	1E	1F	21	23	26	29	2E	34	3E	4C	64	7F	7F
1E	1E	1F	1F	20	22	24	27	2A	2F	36	40	4E	67	7F	7F
1F	1F	20	20	22	23	25	28	2C	31	38	42	51	6B	7F	7F
20	20	21	21	23	24	27	29	2D	32	3A	44	54	6E	7F	7F
21	21	22	22	24	25	28	2B	2F	34	3B	46	56	72	7F	7F
22	22	23	24	25	27	29	2C	30	36	3D	48	59	75	7F	7F
23	23	24	25	26	28	2A	2D	32	37	3F	4A	5B	79	7F	7F
24	24	25	26	27	29	2B	2F	33	39	41	4C	5E	7C	7F	7F
25	25	26	27	28	2A	2D	30	34	3A	43	4F	61	7F	7F	7F
26	26	27	28	29	2B	2E	31	36	3C	44	51	63	7F	7F	7F
27	27	28	29	2A	2C	2F	32	37	3E	46	53	66	7F	7F	7F
28	28	29	2A	2B	2D	30	34	39	3F	48	55	68	7F	7F	7F
29	29	2A	2B	2C	2E	31	35	3A	41	4A	57	6B	7F	7F	7F
2A	2A	2B	2C	2D	30	33	36	3B	42	4C	59	6E	7F	7F	7F
2B	2B	2C	2D	2F	31	34	38	3D	44	4D	5B	70	7F	7F	7F
2C	2C	2D	2E	30	32	35	39	3E	45	4F	5D	73	7F	7F	7F
2D	2D	2E	2F	31	33	36	3A	40	47	51	60	75	7F	7F	7F
2E	2E	2F	30	32	34	37	3C	41	49	53	62	78	7F	7F	7F
2F	2F	30	31	33	35	39	3D	42	4A	55	64	7B	7F	7F	7F
30	30	31	32	34	36	3A	3E	44	4C	56	66	7D	7F	7F	7F
31	31	32	33	35	38	3B	3F	45	4D	58	68	7F	7F	7F	7F
32	32	33	34	36	39	3C	41	47	4F	5A	6A	7F	7F	7F	7F
33	33	34	35	37	3A	3D	42	48	50	5C	6C	7F	7F	7F	7F
34	34	35	36	38	3B	3F	43	4A	52	5E	6E	7F	7F	7F	7F
35	35	36	37	39	3C	40	45	4B	54	5F	71	7F	7F	7F	7F
36	36	37	38	3A	3D	41	46	4C	55	61	73	7F	7F	7F	7F
37	37	38	39	3C	3E	42	47	4E	57	63	75	7F	7F	7F	7F
38	38	39	3B	3D	3F	43	48	4F	58	65	77	7F	7F	7F	7F
39	39	3A	3C	3E	41	45	4A	51	5A	67	79	7F	7F	7F	7F
3A	3A	3B	3D	3F	42	46	4B	52	5B	68	7B	7F	7F	7F	7F
3B	3B	3C	3E	40	43	47	4C	53	5D	6A	7D	7F	7F	7F	7F
3C	3C	3D	3F	41	44	48	4E	55	5F	6C	7F	7F	7F	7F	7F
3D	3D	3E	40	42	45	49	4F	56	60	6E	7F	7F	7F	7F	7F
3E	3E	3F	41	43	46	4B	50	58	62	70	7F	7F	7F	7F	7F
3F	3F	40	42	44	47	4C	52	59	63	71	7F	7F	7F	7F	7F
40	40	41	43	45	49	4D	53	5B	65	73	7F	7F	7F	7F	7F
41	41	42	44	46	4A	4E	54	5C	67	75	7F	7F	7F	7F	7F
42	42	43	45	47	4B	4F	55	5D	68	77	7F	7F	7F	7F	7F
